source_subject,target_subject,proxy_a_distance,coral_distance,proxy_rank,coral_rank,selection_score,probe_selected_count,probe_selected_fraction_of_cap,probe_candidate_coverage,probe_pseudo_balance,probe_agreement,probe_trial_coherence,probe_mean_selected_conf,probe_transferability_score,selection_stage,selected_source
s27,s05,2.0,9.781154973201895,2.0,21.0,23.0,,,,,,,,,stage1_pruned,s15
s23,s05,2.0,9.934289001927919,2.0,22.0,24.0,,,,,,,,,stage1_pruned,s15
s28,s05,2.0,9.962715158712896,2.0,23.0,25.0,,,,,,,,,stage1_pruned,s15
s12,s05,2.0,10.09950860275625,2.0,24.0,26.0,,,,,,,,,stage1_pruned,s15
s29,s05,2.0,10.282439676806721,2.0,25.0,27.0,,,,,,,,,stage1_pruned,s15
s24,s05,2.0,10.44359212129695,2.0,26.0,28.0,,,,,,,,,stage1_pruned,s15
s04,s05,2.0,11.16708039275354,2.0,27.0,29.0,,,,,,,,,stage1_pruned,s15
s25,s05,2.0,11.96085715592044,2.0,28.0,30.0,,,,,,,,,stage1_pruned,s15
s01,s05,2.0,12.058857258069022,2.0,29.0,31.0,,,,,,,,,stage1_pruned,s15
s11,s05,1.9833333333333334,13.174025097092425,1.0,31.0,32.0,,,,,,,,,stage1_pruned,s15
s22,s05,2.0,12.476066592480528,2.0,30.0,32.0,,,,,,,,,stage1_pruned,s15
s19,s06,2.0,8.106245315125143,1.0,2.0,3.0,90.0,1.0,0.21293103448275863,1.0,1.0,0.6491379310344827,0.8591245156016849,0.7653700188835325,stage2_probe,s19
s08,s06,2.0,8.56940906577777,1.0,4.0,5.0,40.0,0.4444444444444444,0.034482758620689655,0.6,1.0,0.7043103448275863,0.7964090879742516,0.5742457417550345,stage2_probe,s19
s32,s06,2.0,8.46687528458873,1.0,3.0,4.0,20.0,0.2222222222222222,0.0939655172413793,0.5,1.0,0.6103448275862069,0.8463925011288896,0.5165150273552951,stage2_probe,s19
s18,s06,2.0,8.69331823119139,1.0,5.0,6.0,5.0,0.05555555555555555,0.04827586206896552,0.5,1.0,0.6112068965517242,0.8361264697480962,0.4820362085448761,stage2_probe,s19
s10,s06,2.0,6.999034966745272,1.0,1.0,2.0,8.0,0.08888888888888889,0.009482758620689655,0.0,1.0,0.6879310344827585,0.794879438005536,0.39256006385429976,stage2_probe,s19
s07,s06,2.0,8.899923869691106,1.0,6.0,7.0,,,,,,,,,stage1_pruned,s19
s13,s06,2.0,9.086159279104788,1.0,7.0,8.0,,,,,,,,,stage1_pruned,s19
s12,s06,2.0,9.161591369216174,1.0,8.0,9.0,,,,,,,,,stage1_pruned,s19
s31,s06,2.0,9.28712287132191,1.0,9.0,10.0,,,,,,,,,stage1_pruned,s19
s05,s06,2.0,9.289293882732137,1.0,10.0,11.0,,,,,,,,,stage1_pruned,s19
s16,s06,2.0,9.35315781075869,1.0,11.0,12.0,,,,,,,,,stage1_pruned,s19
s15,s06,2.0,9.355252809593116,1.0,12.0,13.0,,,,,,,,,stage1_pruned,s19
s17,s06,2.0,9.712763292457156,1.0,13.0,14.0,,,,,,,,,stage1_pruned,s19
s26,s06,2.0,9.958050479061871,1.0,14.0,15.0,,,,,,,,,stage1_pruned,s19
s14,s06,2.0,9.986150641168422,1.0,15.0,16.0,,,,,,,,,stage1_pruned,s19
s20,s06,2.0,10.059683646158042,1.0,16.0,17.0,,,,,,,,,stage1_pruned,s19
s09,s06,2.0,10.213435907895756,1.0,17.0,18.0,,,,,,,,,stage1_pruned,s19
s28,s06,2.0,10.279516245832477,1.0,18.0,19.0,,,,,,,,,stage1_pruned,s19
