source_subject,target_subject,proxy_a_distance,coral_distance,proxy_rank,coral_rank,selection_score,probe_selected_count,probe_selected_fraction_of_cap,probe_candidate_coverage,probe_pseudo_balance,probe_agreement,probe_trial_coherence,probe_mean_selected_conf,probe_transferability_score,selection_stage,selected_source
s18,s15,2.0,5.223536634903256,3.0,1.0,4.0,60.0,1.0,0.9163793103448276,1.0,1.0,0.8577586206896551,0.9996301192129378,0.9548090921675434,stage2_probe,s03
s10,s15,2.0,5.732244914410765,3.0,2.0,5.0,60.0,1.0,0.8862068965517241,1.0,1.0,0.8594827586206897,0.9997148025767493,0.9491236711633202,stage2_probe,s03
s22,s15,2.0,5.991987962554492,3.0,5.0,8.0,60.0,1.0,0.2482758620689655,1.0,1.0,0.846551724137931,0.9426405588411992,0.8160975451834392,stage2_probe,s03
s17,s15,1.9833333333333334,5.907923119194028,2.0,4.0,6.0,60.0,1.0,0.23017241379310344,1.0,1.0,0.8025862068965516,0.9670043970664287,0.8049019439912525,stage2_probe,s03
s08,s15,1.9666666666666668,6.505802273820571,1.0,8.0,9.0,,,,,,,,,stage1_pruned,s03
s02,s15,1.9833333333333334,6.379874586696636,2.0,7.0,9.0,,,,,,,,,stage1_pruned,s03
s29,s15,2.0,6.126030345024793,3.0,6.0,9.0,,,,,,,,,stage1_pruned,s03
s01,s15,1.9666666666666668,6.600856154872208,1.0,10.0,11.0,,,,,,,,,stage1_pruned,s03
s13,s15,2.0,6.555216444483395,3.0,9.0,12.0,,,,,,,,,stage1_pruned,s03
s19,s15,1.9833333333333334,6.723493420658916,2.0,12.0,14.0,,,,,,,,,stage1_pruned,s03
s09,s15,2.0,6.70498251680125,3.0,11.0,14.0,,,,,,,,,stage1_pruned,s03
s04,s15,2.0,6.748808228169933,3.0,13.0,16.0,,,,,,,,,stage1_pruned,s03
s30,s15,2.0,6.7891078463623895,3.0,14.0,17.0,,,,,,,,,stage1_pruned,s03
s16,s15,2.0,6.826382283685062,3.0,15.0,18.0,,,,,,,,,stage1_pruned,s03
s28,s15,1.9833333333333334,7.133222678819741,2.0,17.0,19.0,,,,,,,,,stage1_pruned,s03
s20,s15,2.0,7.09241170991797,3.0,16.0,19.0,,,,,,,,,stage1_pruned,s03
s23,s15,2.0,7.148604496921839,3.0,18.0,21.0,,,,,,,,,stage1_pruned,s03
s26,s15,2.0,7.19917595224601,3.0,19.0,22.0,,,,,,,,,stage1_pruned,s03
s07,s15,1.9833333333333334,7.3867859496576695,2.0,21.0,23.0,,,,,,,,,stage1_pruned,s03
s25,s15,2.0,7.275513853720351,3.0,20.0,23.0,,,,,,,,,stage1_pruned,s03
s27,s15,1.9833333333333334,7.389244830357389,2.0,22.0,24.0,,,,,,,,,stage1_pruned,s03
s11,s15,1.9833333333333334,7.59033795940249,2.0,24.0,26.0,,,,,,,,,stage1_pruned,s03
s32,s15,2.0,7.477318723647571,3.0,23.0,26.0,,,,,,,,,stage1_pruned,s03
s06,s15,1.9833333333333334,7.590729407937393,2.0,25.0,27.0,,,,,,,,,stage1_pruned,s03
s05,s15,1.9833333333333334,8.169574334297103,2.0,27.0,29.0,,,,,,,,,stage1_pruned,s03
s31,s15,2.0,8.01062468843912,3.0,26.0,29.0,,,,,,,,,stage1_pruned,s03
s12,s15,2.0,8.475306667031248,3.0,28.0,31.0,,,,,,,,,stage1_pruned,s03
s24,s15,2.0,8.570063108217933,3.0,29.0,32.0,,,,,,,,,stage1_pruned,s03
s21,s15,2.0,8.578951843485836,3.0,30.0,33.0,,,,,,,,,stage1_pruned,s03
s14,s15,2.0,10.377070140162877,3.0,31.0,34.0,,,,,,,,,stage1_pruned,s03
s09,s16,2.0,5.347961621960777,3.0,2.0,5.0,60.0,1.0,0.8103448275862069,1.0,1.0,0.9068965517241379,0.9924203003202581,0.9430692908780819,stage2_probe,s09
s18,s16,1.9666666666666668,5.587571053911222,1.0,3.0,4.0,60.0,1.0,0.3482758620689655,1.0,1.0,0.7508620689655172,0.9483032809694302,0.8172427502553681,stage2_probe,s09
s29,s16,1.9833333333333334,6.585869652886304,2.0,6.0,8.0,60.0,1.0,0.1543103448275862,1.0,1.0,0.6008620689655173,0.9294525716473957,0.7475071113409906,stage2_probe,s09
s17,s16,2.0,5.017170493089229,3.0,1.0,4.0,56.0,0.9333333333333333,0.07758620689655173,0.8666666666666667,1.0,0.6508620689655172,0.8579078272578411,0.7019183798686393,stage2_probe,s09
s08,s16,2.0,6.057748393046309,3.0,4.0,7.0,54.0,0.9,0.06982758620689655,0.8,1.0,0.653448275862069,0.8521867190455684,0.6822645083660717,stage2_probe,s09
s15,s16,2.0,6.58299848091687,3.0,5.0,8.0,,,,,,,,,stage1_pruned,s09
s07,s16,2.0,6.586237992583429,3.0,7.0,10.0,,,,,,,,,stage1_pruned,s09
s06,s16,2.0,6.827313335299915,3.0,8.0,11.0,,,,,,,,,stage1_pruned,s09
s19,s16,2.0,6.89652789554593,3.0,9.0,12.0,,,,,,,,,stage1_pruned,s09
s28,s16,2.0,7.102112068947306,3.0,10.0,13.0,,,,,,,,,stage1_pruned,s09
s10,s16,2.0,7.102133022132382,3.0,11.0,14.0,,,,,,,,,stage1_pruned,s09
s20,s16,2.0,7.125956498767107,3.0,12.0,15.0,,,,,,,,,stage1_pruned,s09
s02,s16,2.0,7.154271164700532,3.0,13.0,16.0,,,,,,,,,stage1_pruned,s09
s01,s16,2.0,7.212880886246489,3.0,14.0,17.0,,,,,,,,,stage1_pruned,s09
s12,s16,2.0,7.439946796713257,3.0,15.0,18.0,,,,,,,,,stage1_pruned,s09
s04,s16,2.0,7.459748420042809,3.0,16.0,19.0,,,,,,,,,stage1_pruned,s09
s22,s16,2.0,7.626400121942125,3.0,17.0,20.0,,,,,,,,,stage1_pruned,s09
s31,s16,2.0,7.662410245375078,3.0,18.0,21.0,,,,,,,,,stage1_pruned,s09
s30,s16,2.0,7.725895930194656,3.0,19.0,22.0,,,,,,,,,stage1_pruned,s09
s26,s16,1.9833333333333334,7.87349580146079,2.0,21.0,23.0,,,,,,,,,stage1_pruned,s09
s25,s16,2.0,7.868042197098365,3.0,20.0,23.0,,,,,,,,,stage1_pruned,s09
s24,s16,2.0,8.30490878845532,3.0,22.0,25.0,,,,,,,,,stage1_pruned,s09
s13,s16,2.0,8.355704033282741,3.0,23.0,26.0,,,,,,,,,stage1_pruned,s09
s23,s16,2.0,8.430141573003898,3.0,24.0,27.0,,,,,,,,,stage1_pruned,s09
s27,s16,2.0,8.473680646777678,3.0,25.0,28.0,,,,,,,,,stage1_pruned,s09
s03,s16,2.0,8.513798799441464,3.0,26.0,29.0,,,,,,,,,stage1_pruned,s09
s32,s16,2.0,9.051424712710087,3.0,27.0,30.0,,,,,,,,,stage1_pruned,s09
s11,s16,1.9833333333333334,9.157522916480392,2.0,29.0,31.0,,,,,,,,,stage1_pruned,s09
s05,s16,2.0,9.066710311819836,3.0,28.0,31.0,,,,,,,,,stage1_pruned,s09
s14,s16,2.0,9.357872852072692,3.0,30.0,33.0,,,,,,,,,stage1_pruned,s09
s21,s16,2.0,10.491716370122111,3.0,31.0,34.0,,,,,,,,,stage1_pruned,s09
s06,s17,1.9833333333333334,4.9416847749548145,3.0,4.0,7.0,60.0,1.0,0.8206896551724138,1.0,1.0,0.8767241379310345,0.9950854641642802,0.9392370318289036,stage2_probe,s06
s18,s17,2.0,4.5995459630352755,4.0,1.0,5.0,60.0,1.0,0.8767241379310344,1.0,1.0,0.8094827586206896,0.9998245437103515,0.9372326064958625,stage2_probe,s06
s16,s17,2.0,4.886369100764936,4.0,3.0,7.0,60.0,1.0,0.6681034482758621,1.0,1.0,0.8637931034482758,0.9918733767485557,0.9059729791822554,stage2_probe,s06
s28,s17,2.0,4.752490146747191,4.0,2.0,6.0,60.0,1.0,0.41551724137931034,1.0,1.0,0.7129310344827586,0.9972570569452529,0.8255525080196766,stage2_probe,s06
s01,s17,1.9666666666666668,5.007357315939799,2.0,5.0,7.0,60.0,1.0,0.23448275862068965,1.0,1.0,0.743103448275862,0.9896317164411734,0.794998827201369,stage2_probe,s06
s09,s17,2.0,5.050810389941423,4.0,6.0,10.0,,,,,,,,,stage1_pruned,s06
s29,s17,1.9833333333333334,5.0971287527315035,3.0,8.0,11.0,,,,,,,,,stage1_pruned,s06
s07,s17,2.0,5.091095902705285,4.0,7.0,11.0,,,,,,,,,stage1_pruned,s06
s10,s17,1.9833333333333334,5.701991588422331,3.0,10.0,13.0,,,,,,,,,stage1_pruned,s06
s02,s17,2.0,5.478398216615063,4.0,9.0,13.0,,,,,,,,,stage1_pruned,s06
s26,s17,1.9666666666666668,5.774348566358879,2.0,12.0,14.0,,,,,,,,,stage1_pruned,s06
s20,s17,1.9500000000000002,5.792878425883671,1.0,14.0,15.0,,,,,,,,,stage1_pruned,s06
s19,s17,1.9666666666666668,5.787049158714301,2.0,13.0,15.0,,,,,,,,,stage1_pruned,s06
s08,s17,2.0,5.7071524323709175,4.0,11.0,15.0,,,,,,,,,stage1_pruned,s06
s15,s17,2.0,5.827442582299006,4.0,15.0,19.0,,,,,,,,,stage1_pruned,s06
s31,s17,2.0,5.939446245263125,4.0,16.0,20.0,,,,,,,,,stage1_pruned,s06
s30,s17,2.0,6.163150512350737,4.0,17.0,21.0,,,,,,,,,stage1_pruned,s06
s25,s17,2.0,6.233283500770843,4.0,18.0,22.0,,,,,,,,,stage1_pruned,s06
s04,s17,1.9500000000000002,6.748265968549241,1.0,22.0,23.0,,,,,,,,,stage1_pruned,s06
s03,s17,2.0,6.481885874034216,4.0,19.0,23.0,,,,,,,,,stage1_pruned,s06
s23,s17,2.0,6.579764490748151,4.0,20.0,24.0,,,,,,,,,stage1_pruned,s06
s27,s17,2.0,6.633171729616207,4.0,21.0,25.0,,,,,,,,,stage1_pruned,s06
s32,s17,2.0,6.781130696809804,4.0,23.0,27.0,,,,,,,,,stage1_pruned,s06
s22,s17,1.9833333333333334,7.151795583487363,3.0,25.0,28.0,,,,,,,,,stage1_pruned,s06
s13,s17,2.0,6.975451230428518,4.0,24.0,28.0,,,,,,,,,stage1_pruned,s06
s12,s17,1.9833333333333334,7.411651327837895,3.0,26.0,29.0,,,,,,,,,stage1_pruned,s06
s05,s17,1.9833333333333334,7.708035309454236,3.0,27.0,30.0,,,,,,,,,stage1_pruned,s06
s11,s17,1.9833333333333334,8.098753390377327,3.0,29.0,32.0,,,,,,,,,stage1_pruned,s06
s24,s17,2.0,7.754791204885783,4.0,28.0,32.0,,,,,,,,,stage1_pruned,s06
s21,s17,2.0,8.4758526085502,4.0,30.0,34.0,,,,,,,,,stage1_pruned,s06
s14,s17,2.0,9.504562120167067,4.0,31.0,35.0,,,,,,,,,stage1_pruned,s06
s02,s18,2.0,4.4466967157765005,2.0,1.0,3.0,60.0,1.0,0.2810344827586207,1.0,1.0,0.7663793103448275,0.9563712455028229,0.8073013208958308,stage2_probe,s02
s01,s18,2.0,4.539671205691428,2.0,3.0,5.0,60.0,1.0,0.253448275862069,1.0,1.0,0.725,0.977639939712256,0.7945716521580267,stage2_probe,s02
s08,s18,2.0,5.423871837125335,2.0,5.0,7.0,60.0,1.0,0.14310344827586208,1.0,1.0,0.7232758620689654,0.9175123563774582,0.7691514798878385,stage2_probe,s02
s19,s18,2.0,5.373474802747306,2.0,4.0,6.0,60.0,1.0,0.10775862068965517,1.0,1.0,0.6767241379310345,0.8692204734602602,0.750357575397151,stage2_probe,s02
s17,s18,1.9833333333333334,4.525779767533217,1.0,2.0,3.0,50.0,0.8333333333333334,0.125,0.6666666666666666,1.0,0.6905172413793104,0.9506752888422761,0.6689705460513092,stage2_probe,s02
s03,s18,1.9833333333333334,5.625172700255391,1.0,7.0,8.0,,,,,,,,,stage1_pruned,s02
s10,s18,2.0,5.564937475673607,2.0,6.0,8.0,,,,,,,,,stage1_pruned,s02
s22,s18,2.0,5.682301397201432,2.0,8.0,10.0,,,,,,,,,stage1_pruned,s02
s06,s18,1.9833333333333334,5.819152996639253,1.0,10.0,11.0,,,,,,,,,stage1_pruned,s02
s20,s18,2.0,5.73597989854562,2.0,9.0,11.0,,,,,,,,,stage1_pruned,s02
s28,s18,2.0,5.881514569590703,2.0,11.0,13.0,,,,,,,,,stage1_pruned,s02
s29,s18,2.0,5.898722249200943,2.0,12.0,14.0,,,,,,,,,stage1_pruned,s02
s15,s18,1.9833333333333334,6.004584668310052,1.0,14.0,15.0,,,,,,,,,stage1_pruned,s02
s16,s18,2.0,5.951419871000804,2.0,13.0,15.0,,,,,,,,,stage1_pruned,s02
s09,s18,1.9833333333333334,6.146203191981115,1.0,15.0,16.0,,,,,,,,,stage1_pruned,s02
s04,s18,2.0,6.159406296322934,2.0,16.0,18.0,,,,,,,,,stage1_pruned,s02
s27,s18,2.0,6.229735640394287,2.0,17.0,19.0,,,,,,,,,stage1_pruned,s02
s23,s18,2.0,6.357339705457782,2.0,18.0,20.0,,,,,,,,,stage1_pruned,s02
s26,s18,1.9833333333333334,6.498468968737928,1.0,20.0,21.0,,,,,,,,,stage1_pruned,s02
s30,s18,2.0,6.436994860130051,2.0,19.0,21.0,,,,,,,,,stage1_pruned,s02
s32,s18,2.0,6.822192885472739,2.0,21.0,23.0,,,,,,,,,stage1_pruned,s02
s13,s18,2.0,6.937501311770718,2.0,22.0,24.0,,,,,,,,,stage1_pruned,s02
s07,s18,2.0,6.978564601805791,2.0,23.0,25.0,,,,,,,,,stage1_pruned,s02
s25,s18,2.0,7.0928705131050105,2.0,24.0,26.0,,,,,,,,,stage1_pruned,s02
s12,s18,1.9833333333333334,8.247014092778791,1.0,26.0,27.0,,,,,,,,,stage1_pruned,s02
s05,s18,2.0,7.566854576278948,2.0,25.0,27.0,,,,,,,,,stage1_pruned,s02
s31,s18,1.9833333333333334,8.400456397905936,1.0,28.0,29.0,,,,,,,,,stage1_pruned,s02
s11,s18,2.0,8.279880900230575,2.0,27.0,29.0,,,,,,,,,stage1_pruned,s02
s21,s18,2.0,8.576870154122481,2.0,29.0,31.0,,,,,,,,,stage1_pruned,s02
s24,s18,2.0,8.758263885003515,2.0,30.0,32.0,,,,,,,,,stage1_pruned,s02
s14,s18,2.0,10.078725843231819,2.0,31.0,33.0,,,,,,,,,stage1_pruned,s02
s18,s19,2.0,5.965316178589921,3.0,2.0,5.0,60.0,1.0,0.2818965517241379,1.0,1.0,0.8129310344827585,0.9161279899540116,0.8147719167390799,stage2_probe,s18
s04,s19,1.9500000000000002,6.015886072286709,1.0,3.0,4.0,60.0,1.0,0.10172413793103448,1.0,1.0,0.7543103448275861,0.8679700911715597,0.7646054011103021,stage2_probe,s18
s09,s19,2.0,6.170842081657435,3.0,5.0,8.0,60.0,1.0,0.16810344827586207,1.0,1.0,0.6655172413793103,0.8850695692848355,0.7609776163952763,stage2_probe,s18
s26,s19,1.9833333333333334,6.038596342833035,2.0,4.0,6.0,27.0,0.45,0.07844827586206897,0.5,1.0,0.6258620689655172,0.9104643999184193,0.5538852889614383,stage2_probe,s18
s17,s19,1.9833333333333334,5.724044638387287,2.0,1.0,3.0,8.0,0.13333333333333333,0.015517241379310345,0.0,1.0,0.6405172413793103,0.8444803214081249,0.3934309126221304,stage2_probe,s18
s20,s19,2.0,6.225830513142285,3.0,6.0,9.0,,,,,,,,,stage1_pruned,s18
s01,s19,2.0,6.265788684780864,3.0,7.0,10.0,,,,,,,,,stage1_pruned,s18
s28,s19,2.0,6.38972300936406,3.0,8.0,11.0,,,,,,,,,stage1_pruned,s18
s10,s19,2.0,6.602640412871102,3.0,9.0,12.0,,,,,,,,,stage1_pruned,s18
s22,s19,2.0,6.679186936853647,3.0,10.0,13.0,,,,,,,,,stage1_pruned,s18
s08,s19,2.0,6.720499724671965,3.0,11.0,14.0,,,,,,,,,stage1_pruned,s18
s23,s19,1.9833333333333334,6.860521919722513,2.0,13.0,15.0,,,,,,,,,stage1_pruned,s18
s16,s19,2.0,6.8268043314204006,3.0,12.0,15.0,,,,,,,,,stage1_pruned,s18
s29,s19,2.0,6.984675412212992,3.0,14.0,17.0,,,,,,,,,stage1_pruned,s18
s06,s19,2.0,7.006072113257863,3.0,15.0,18.0,,,,,,,,,stage1_pruned,s18
s07,s19,2.0,7.212498966162502,3.0,16.0,19.0,,,,,,,,,stage1_pruned,s18
s02,s19,2.0,7.277178121603089,3.0,17.0,20.0,,,,,,,,,stage1_pruned,s18
s27,s19,1.9833333333333334,7.429261460401383,2.0,19.0,21.0,,,,,,,,,stage1_pruned,s18
