source_subject,target_subject,proxy_a_distance,coral_distance,proxy_rank,coral_rank,selection_score,probe_selected_count,probe_selected_fraction_of_cap,probe_candidate_coverage,probe_pseudo_balance,probe_agreement,probe_trial_coherence,probe_mean_selected_conf,probe_transferability_score,selection_stage,selected_source
s23,s14,2.0,11.43940685226178,2.0,28.0,30.0,,,,,,,,,stage1_pruned,s09
s22,s14,2.0,12.007963540922184,2.0,29.0,31.0,,,,,,,,,stage1_pruned,s09
s01,s14,1.9833333333333334,12.735579366304965,1.0,31.0,32.0,,,,,,,,,stage1_pruned,s09
s11,s14,2.0,12.660284954967562,2.0,30.0,32.0,,,,,,,,,stage1_pruned,s09
s07,s15,2.0,7.799357341181762,2.0,3.0,5.0,60.0,1.0,0.6474137931034483,1.0,1.0,0.7448275862068965,0.9976488315383488,0.8783307174389865,stage2_probe,s07
s16,s15,2.0,7.909300101821583,2.0,4.0,6.0,60.0,1.0,0.5922413793103448,1.0,1.0,0.7594827586206897,0.9860467096466804,0.869647163068541,stage2_probe,s07
s10,s15,2.0,8.175483266467031,2.0,5.0,7.0,60.0,1.0,0.528448275862069,1.0,1.0,0.7741379310344827,0.9736691667310285,0.8592006997158618,stage2_probe,s07
s32,s15,2.0,7.6960622066578175,2.0,2.0,4.0,60.0,1.0,0.4189655172413793,1.0,1.0,0.7181034482758621,0.9491980354351701,0.8248736948752069,stage2_probe,s07
s08,s15,1.9833333333333334,7.670372608452254,1.0,1.0,2.0,60.0,1.0,0.0896551724137931,1.0,1.0,0.6793103448275862,0.8214993623599794,0.7448680715662748,stage2_probe,s07
s05,s15,2.0,8.27581060482143,2.0,6.0,8.0,,,,,,,,,stage1_pruned,s07
s21,s15,2.0,8.417551306444393,2.0,7.0,9.0,,,,,,,,,stage1_pruned,s07
s19,s15,2.0,8.517370214086599,2.0,8.0,10.0,,,,,,,,,stage1_pruned,s07
s20,s15,2.0,8.684777166961904,2.0,9.0,11.0,,,,,,,,,stage1_pruned,s07
s31,s15,2.0,8.830291903330165,2.0,10.0,12.0,,,,,,,,,stage1_pruned,s07
s13,s15,2.0,8.852444994660427,2.0,11.0,13.0,,,,,,,,,stage1_pruned,s07
s26,s15,2.0,9.028874172098638,2.0,12.0,14.0,,,,,,,,,stage1_pruned,s07
s30,s15,2.0,9.036021039251375,2.0,13.0,15.0,,,,,,,,,stage1_pruned,s07
s14,s15,2.0,9.050420349243845,2.0,14.0,16.0,,,,,,,,,stage1_pruned,s07
s03,s15,2.0,9.147944542354153,2.0,15.0,17.0,,,,,,,,,stage1_pruned,s07
s27,s15,2.0,9.351603507398686,2.0,16.0,18.0,,,,,,,,,stage1_pruned,s07
s06,s15,2.0,9.389292455863085,2.0,17.0,19.0,,,,,,,,,stage1_pruned,s07
s18,s15,2.0,9.468506858671157,2.0,18.0,20.0,,,,,,,,,stage1_pruned,s07
s23,s15,2.0,9.483207733576387,2.0,19.0,21.0,,,,,,,,,stage1_pruned,s07
s28,s15,2.0,9.860860065199137,2.0,20.0,22.0,,,,,,,,,stage1_pruned,s07
s17,s15,2.0,9.895570946244474,2.0,21.0,23.0,,,,,,,,,stage1_pruned,s07
s12,s15,2.0,9.981043958360472,2.0,22.0,24.0,,,,,,,,,stage1_pruned,s07
s29,s15,2.0,10.022562975130304,2.0,23.0,25.0,,,,,,,,,stage1_pruned,s07
s09,s15,2.0,10.187709727414328,2.0,24.0,26.0,,,,,,,,,stage1_pruned,s07
s02,s15,2.0,10.302188295462297,2.0,25.0,27.0,,,,,,,,,stage1_pruned,s07
s04,s15,2.0,10.626463651364102,2.0,26.0,28.0,,,,,,,,,stage1_pruned,s07
s01,s15,1.9833333333333334,11.344583665377145,1.0,28.0,29.0,,,,,,,,,stage1_pruned,s07
s24,s15,2.0,10.825855115005734,2.0,27.0,29.0,,,,,,,,,stage1_pruned,s07
s25,s15,2.0,12.203970188820511,2.0,29.0,31.0,,,,,,,,,stage1_pruned,s07
s22,s15,2.0,12.511031336997625,2.0,30.0,32.0,,,,,,,,,stage1_pruned,s07
s11,s15,2.0,13.59983925095734,2.0,31.0,33.0,,,,,,,,,stage1_pruned,s07
s10,s16,2.0,7.791640653670153,1.0,4.0,5.0,60.0,1.0,0.47844827586206895,1.0,1.0,0.7543103448275862,0.9818130301879436,0.8456423756473282,stage2_probe,s10
s27,s16,2.0,7.9992110892109745,1.0,5.0,6.0,60.0,1.0,0.4879310344827586,1.0,1.0,0.6698275862068964,0.9710005111199568,0.8301017496939288,stage2_probe,s10
s15,s16,2.0,7.775165519782752,1.0,3.0,4.0,60.0,1.0,0.3775862068965517,1.0,1.0,0.7344827586206897,0.9701663590726951,0.8209221110570831,stage2_probe,s10
s32,s16,2.0,7.19429936331246,1.0,2.0,3.0,60.0,1.0,0.30086206896551726,1.0,1.0,0.7413793103448276,0.9193405442326641,0.8044153030737022,stage2_probe,s10
s08,s16,2.0,6.557853019467752,1.0,1.0,2.0,60.0,1.0,0.1939655172413793,1.0,1.0,0.7318965517241379,0.8714542718292654,0.7787451273845668,stage2_probe,s10
s07,s16,2.0,8.13186143719638,1.0,6.0,7.0,,,,,,,,,stage1_pruned,s10
s20,s16,2.0,8.284520535704385,1.0,7.0,8.0,,,,,,,,,stage1_pruned,s10
s21,s16,2.0,8.569327424274341,1.0,8.0,9.0,,,,,,,,,stage1_pruned,s10
s26,s16,2.0,8.726486459169532,1.0,9.0,10.0,,,,,,,,,stage1_pruned,s10
s30,s16,2.0,8.727584542782648,1.0,10.0,11.0,,,,,,,,,stage1_pruned,s10
s31,s16,2.0,8.819261969822024,1.0,11.0,12.0,,,,,,,,,stage1_pruned,s10
s18,s16,2.0,8.835112028028865,1.0,12.0,13.0,,,,,,,,,stage1_pruned,s10
s23,s16,2.0,8.962468404507959,1.0,13.0,14.0,,,,,,,,,stage1_pruned,s10
s19,s16,2.0,9.055230068652667,1.0,14.0,15.0,,,,,,,,,stage1_pruned,s10
s13,s16,2.0,9.077615494469676,1.0,15.0,16.0,,,,,,,,,stage1_pruned,s10
s14,s16,2.0,9.213542078389565,1.0,16.0,17.0,,,,,,,,,stage1_pruned,s10
s29,s16,2.0,9.29258135729649,1.0,17.0,18.0,,,,,,,,,stage1_pruned,s10
s06,s16,2.0,9.343841174525567,1.0,18.0,19.0,,,,,,,,,stage1_pruned,s10
s03,s16,2.0,9.464376533462135,1.0,19.0,20.0,,,,,,,,,stage1_pruned,s10
s05,s16,2.0,9.569077813681753,1.0,20.0,21.0,,,,,,,,,stage1_pruned,s10
s12,s16,2.0,9.654118860336888,1.0,21.0,22.0,,,,,,,,,stage1_pruned,s10
s17,s16,2.0,9.789057968662881,1.0,22.0,23.0,,,,,,,,,stage1_pruned,s10
s02,s16,2.0,10.296216590398773,1.0,23.0,24.0,,,,,,,,,stage1_pruned,s10
s09,s16,2.0,10.348831737805426,1.0,24.0,25.0,,,,,,,,,stage1_pruned,s10
s28,s16,2.0,10.362111586479552,1.0,25.0,26.0,,,,,,,,,stage1_pruned,s10
s01,s16,2.0,10.600046456441023,1.0,26.0,27.0,,,,,,,,,stage1_pruned,s10
s24,s16,2.0,11.138826020628265,1.0,27.0,28.0,,,,,,,,,stage1_pruned,s10
s04,s16,2.0,11.191136442300309,1.0,28.0,29.0,,,,,,,,,stage1_pruned,s10
s25,s16,2.0,12.464213569501581,1.0,29.0,30.0,,,,,,,,,stage1_pruned,s10
s22,s16,2.0,13.08512457186799,1.0,30.0,31.0,,,,,,,,,stage1_pruned,s10
s11,s16,2.0,13.479392603624751,1.0,31.0,32.0,,,,,,,,,stage1_pruned,s10
s10,s17,2.0,9.386749519810722,2.0,5.0,7.0,60.0,1.0,0.5939655172413794,1.0,1.0,0.7724137931034483,0.9923644358271952,0.8728940838603253,stage2_probe,s10
s13,s17,2.0,9.073718557470682,2.0,3.0,5.0,60.0,1.0,0.5103448275862069,1.0,1.0,0.6879310344827586,0.9953636277238221,0.8394233537999842,stage2_probe,s10
s19,s17,2.0,9.16206812159208,2.0,4.0,6.0,60.0,1.0,0.38620689655172413,1.0,1.0,0.6706896551724137,0.9705707880120769,0.8099078497454315,stage2_probe,s10
s26,s17,2.0,8.573011964431483,2.0,1.0,3.0,60.0,1.0,0.3741379310344828,1.0,1.0,0.6810344827586207,0.945916960449366,0.8083303307810891,stage2_probe,s10
s08,s17,2.0,9.072870309839697,2.0,2.0,4.0,54.0,0.9,0.10344827586206896,0.8,1.0,0.6620689655172415,0.8471964358716506,0.6904632700694446,stage2_probe,s10
s32,s17,2.0,9.54800830501931,2.0,6.0,8.0,,,,,,,,,stage1_pruned,s10
s14,s17,2.0,9.598401170054677,2.0,7.0,9.0,,,,,,,,,stage1_pruned,s10
s06,s17,2.0,9.69980911261438,2.0,8.0,10.0,,,,,,,,,stage1_pruned,s10
s05,s17,2.0,9.704422483488864,2.0,9.0,11.0,,,,,,,,,stage1_pruned,s10
s31,s17,1.9833333333333334,9.721819655560214,1.0,11.0,12.0,,,,,,,,,stage1_pruned,s10
s30,s17,2.0,9.707458584560506,2.0,10.0,12.0,,,,,,,,,stage1_pruned,s10
s16,s17,2.0,9.748628695011218,2.0,12.0,14.0,,,,,,,,,stage1_pruned,s10
s15,s17,2.0,9.787698511950659,2.0,13.0,15.0,,,,,,,,,stage1_pruned,s10
s18,s17,2.0,9.896321120494006,2.0,14.0,16.0,,,,,,,,,stage1_pruned,s10
